participant-id,age,gender,ethnicity,residence-country,longest-residence-country,income,education,attribute,work-time-seconds,interest-in-automobiles,owns-car
91,64,male,asian,JP,JP,7,5,modern,,1,1
92,53,female,asian,JP,JP,1,3,modern,,1,1
93,78,male,asian,JP,JP,3,5,modern,,1,1
94,69,male,asian,JP,JP,5,5,modern,,2,1
95,72,male,asian,JP,JP,1,5,modern,,2,1
96,65,male,asian,JP,JP,3,3,modern,,2,1
97,66,male,other,JP,JP,9,2,modern,,2,1
98,38,male,asian,JP,JP,5,5,modern,,1,1
99,68,male,asian,JP,JP,12,2,modern,,3,1
100,36,male,asian,JP,JP,12,5,modern,,4,2
101,72,male,asian,JP,JP,3,2,modern,,1,1
102,53,female,asian,JP,JP,2,5,modern,,3,1
103,31,female,asian,JP,JP,2,2,modern,,5,2
104,53,male,asian,JP,JP,3,2,modern,,2,1
105,72,male,asian,JP,JP,3,3,modern,,4,2
106,42,female,asian,JP,JP,12,2,modern,,5,2
107,50,female,asian,JP,JP,3,2,modern,,4,2
108,31,male,asian,JP,JP,5,2,modern,,1,1
109,49,female,asian,JP,JP,2,3,modern,,4,2
110,54,male,asian,JP,JP,4,2,modern,,2,1
111,50,female,asian,JP,JP,4,5,modern,,2,1
112,45,male,asian,JP,JP,2,5,modern,,5,2
113,61,male,asian,JP,JP,11,7,modern,,1,1
114,43,male,asian,JP,JP,5,5,modern,,4,2
115,64,male,asian,JP,JP,5,5,modern,,1,1
116,48,male,asian,JP,JP,8,5,modern,,1,1
117,52,male,asian,JP,JP,1,2,modern,,4,1
118,63,male,asian,JP,JP,6,5,modern,,4,1
119,85,male,asian,JP,JP,2,5,modern,,2,1
120,51,male,asian,JP,JP,9,5,modern,,2,1
121,59,male,asian,JP,JP,6,5,modern,,1,1
122,52,female,asian,JP,JP,12,2,modern,,5,2
123,39,male,asian,JP,JP,4,3,modern,,2,1
124,62,male,asian,JP,JP,5,5,modern,,4,1
125,65,male,asian,JP,JP,1,5,modern,,1,1
126,58,female,asian,JP,JP,3,5,modern,,3,1
127,62,female,asian,JP,JP,1,5,modern,,4,1
128,71,male,asian,JP,JP,3,5,modern,,2,1
129,70,male,asian,JP,JP,3,5,modern,,1,1
130,51,female,asian,JP,JP,1,2,modern,,3,1
131,43,female,prefer not to answer,JP,JP,12,2,modern,,5,2
132,50,male,asian,JP,JP,5,5,modern,,2,1
133,56,male,asian,JP,JP,1,5,modern,,5,2
134,48,male,asian,JP,JP,2,5,modern,,4,2
135,63,male,asian,JP,JP,9,5,modern,,2,1
136,,prefer not to answer,prefer not to answer,prefer not to answer,prefer not to answer,12,9,modern,,5,3
137,60,male,asian,JP,JP,1,5,modern,,3,1
138,74,male,asian,JP,JP,2,2,modern,,1,1
139,67,male,asian,JP,JP,3,5,modern,,1,1
140,36,female,asian,JP,JP,4,5,modern,,1,1
141,48,female,white,JP,JP,12,2,modern,,2,2
142,,male,asian,JP,JP,1,5,modern,,5,2
143,77,female,asian,JP,JP,1,2,modern,,2,1
144,77,female,asian,JP,JP,1,4,modern,,4,2
145,77,male,asian,JP,JP,3,5,modern,,2,1
146,60,male,asian,JP,JP,1,5,modern,,2,1
147,67,male,asian,JP,JP,12,5,modern,,5,2
148,54,female,asian,JP,JP,2,4,modern,,4,1
149,75,male,asian,JP,JP,2,5,modern,,2,1
150,53,male,asian,JP,JP,5,5,modern,,2,1
151,66,male,asian,JP,JP,5,5,modern,,3,1
152,42,female,asian,JP,JP,12,3,modern,,2,1
153,66,male,asian,JP,JP,3,5,modern,,4,1
154,76,male,asian,JP,JP,2,5,modern,,1,1
155,57,male,asian,JP,JP,1,2,modern,,1,1
156,40,male,asian,JP,JP,7,2,modern,,1,1
157,48,female,asian,JP,JP,1,4,modern,,2,1
158,36,female,asian,JP,JP,1,3,modern,,5,2
159,66,male,asian,JP,JP,5,5,modern,,2,1
160,59,male,asian,JP,JP,8,5,modern,,1,1
161,49,female,asian,JP,JP,12,5,modern,,2,1
162,41,female,asian,JP,JP,3,5,modern,,3,2
163,70,male,asian,JP,JP,1,2,modern,,5,2
164,64,male,asian,JP,JP,7,5,modern,,3,1
165,50,male,asian,JP,JP,12,2,modern,,1,1
166,72,male,asian,JP,JP,4,2,modern,,5,2
167,75,male,asian,JP,JP,3,5,modern,,4,2
168,56,male,asian,JP,JP,1,2,modern,,3,1
169,47,female,asian,JP,JP,2,5,modern,,5,2
170,36,male,asian,JP,JP,4,5,modern,,5,2
171,81,male,asian,JP,JP,3,2,modern,,2,1
172,78,male,asian,JP,JP,3,2,modern,,2,1
173,83,male,asian,JP,JP,2,3,modern,,4,2
174,70,male,asian,JP,JP,2,5,modern,,3,1
175,41,male,asian,JP,JP,6,5,modern,,4,2
176,,female,white,JP,JP,1,2,modern,,4,2
177,24,female,asian,JP,JP,2,5,modern,,4,2
178,36,male,asian,JP,JP,3,2,modern,,1,1
179,52,male,asian,JP,JP,1,2,modern,,2,1
180,58,male,asian,JP,JP,7,5,modern,,5,1
181,68,female,asian,JP,JP,1,5,modern,,2,1
182,61,male,asian,JP,JP,5,5,modern,,4,1
183,29,female,asian,JP,JP,4,3,modern,,1,1
184,48,male,asian,JP,JP,8,5,modern,,3,1
185,31,male,asian,JP,JP,6,6,modern,,5,2
186,44,female,asian,JP,JP,2,5,modern,,4,2
187,60,female,asian,JP,JP,12,2,modern,,3,2
188,26,male,asian,JP,JP,5,5,modern,,2,2
189,40,male,asian,JP,JP,3,2,modern,,5,1
190,66,male,asian,JP,JP,4,5,modern,,4,2
191,51,female,asian,JP,JP,1,2,modern,,2,2
192,28,male,asian,JP,JP,1,5,modern,,4,2
193,70,male,asian,JP,JP,2,2,modern,,3,1
194,60,male,asian,JP,JP,1,5,modern,,2,1
195,62,male,asian,JP,JP,1,2,modern,,4,2
196,64,female,asian,JP,JP,1,2,modern,,4,1
197,53,male,asian,JP,JP,7,5,modern,,1,1
198,40,male,asian,JP,JP,7,5,modern,,2,1
199,45,female,asian,JP,JP,8,5,modern,,1,1
200,29,female,asian,JP,JP,1,2,modern,,3,2
201,54,female,asian,JP,JP,12,2,modern,,4,1
202,69,male,asian,JP,JP,1,3,modern,,5,2
203,68,male,asian,JP,JP,12,5,modern,,1,1
204,76,male,asian,JP,JP,3,5,modern,,4,1
205,54,male,asian,JP,JP,4,5,modern,,1,2
206,63,female,asian,JP,JP,1,2,modern,,2,1
207,61,female,asian,JP,JP,2,5,modern,,5,2
208,,male,asian,JP,JP,12,9,modern,,3,1
209,71,male,asian,JP,JP,2,2,modern,,5,2
210,31,female,asian,JP,JP,2,5,modern,,2,2
211,44,female,asian,JP,JP,2,2,modern,,2,1
212,58,male,asian,JP,JP,9,6,modern,,2,1
213,32,male,asian,JP,JP,8,6,modern,,4,2
214,65,female,asian,JP,JP,12,3,modern,,2,1
215,54,male,asian,JP,JP,8,5,modern,,2,1
216,37,other,asian,JP,JP,12,6,modern,,2,1
217,52,male,asian,JP,JP,6,6,modern,,1,1
218,67,male,asian,JP,JP,2,5,modern,,3,1
219,44,female,asian,JP,JP,12,5,modern,,4,1
220,32,female,asian,JP,JP,4,5,modern,,4,2
221,57,female,asian,JP,JP,1,5,modern,,5,2
222,67,male,asian,JP,JP,2,5,modern,,2,1
223,50,female,asian,JP,JP,4,5,modern,,2,2
224,68,male,asian,JP,JP,1,2,modern,,5,1
225,67,female,asian,JP,JP,1,4,modern,,2,1
226,72,female,asian,JP,JP,6,2,modern,,2,1
227,47,male,asian,JP,JP,4,5,modern,,4,2
228,,female,asian,JP,JP,12,3,modern,,5,2
229,62,female,asian,JP,JP,3,2,modern,,3,1
230,36,male,white,JP,JP,6,5,modern,,2,1
231,34,female,prefer not to answer,JP,JP,8,5,modern,,5,2
232,37,female,asian,JP,JP,1,3,modern,,2,1
233,47,male,asian,JP,JP,7,6,modern,,4,2
234,48,male,asian,JP,JP,1,5,modern,,1,1
235,61,female,asian,JP,JP,12,5,modern,,3,1
236,40,female,asian,JP,JP,12,2,modern,,4,2
237,81,male,asian,JP,JP,1,1,modern,,2,1
238,58,male,asian,JP,JP,1,2,modern,,2,2
239,51,female,asian,JP,JP,1,2,modern,,1,1
240,69,male,asian,JP,JP,4,5,modern,,1,1
241,59,female,asian,JP,JP,1,4,modern,,5,2
242,57,male,asian,JP,JP,5,5,modern,,1,1
243,77,female,asian,JP,JP,12,3,modern,,4,2
244,59,male,white,JP,JP,3,2,modern,,1,1
245,27,female,asian,JP,JP,4,3,modern,,2,2
246,66,male,asian,JP,JP,3,5,modern,,3,1
247,52,female,asian,JP,JP,12,6,modern,,5,2
248,45,female,asian,JP,JP,5,3,modern,,4,2
249,53,male,asian,JP,JP,1,3,modern,,2,1
250,67,male,asian,JP,JP,4,2,modern,,2,1
251,61,male,asian,JP,JP,6,5,modern,,2,1
252,82,female,asian,JP,JP,2,2,modern,,4,2
253,47,female,asian,JP,JP,1,4,modern,,5,2
254,52,female,asian,JP,JP,1,4,modern,,4,2
255,67,male,asian,JP,JP,4,5,modern,,5,2
256,46,female,asian,JP,JP,1,5,modern,,4,2
257,42,female,asian,JP,JP,1,2,modern,,5,2
258,54,male,asian,JP,JP,6,2,modern,,5,2
259,44,male,asian,JP,JP,8,5,modern,,2,1
260,37,female,asian,JP,JP,4,5,modern,,1,1
261,51,female,asian,JP,JP,3,2,modern,,3,1
262,70,male,asian,JP,JP,4,5,modern,,3,1
263,48,male,asian,JP,JP,7,7,modern,,2,1
264,63,female,asian,JP,JP,1,4,modern,,3,2
265,44,female,asian,JP,JP,3,4,modern,,4,1
266,50,female,asian,JP,JP,1,4,modern,,3,1
267,75,male,asian,JP,JP,3,5,modern,,3,1
268,43,female,asian,JP,JP,2,5,modern,,3,1
269,73,male,asian,JP,JP,1,2,modern,,4,1
270,79,female,asian,JP,JP,1,4,modern,,2,1
271,57,male,asian,JP,JP,4,2,modern,,3,2
272,,female,asian,JP,JP,2,2,modern,,1,1
273,45,male,asian,JP,JP,2,3,modern,,5,2
274,61,female,asian,JP,JP,1,2,modern,,2,1
275,19,female,asian,JP,JP,1,2,modern,,4,2
276,89,male,asian,JP,JP,3,5,modern,,2,1
277,71,female,asian,JP,JP,2,5,modern,,5,2
278,53,male,asian,JP,JP,7,5,modern,,4,2
279,74,male,asian,JP,JP,1,5,modern,,1,1
280,60,male,asian,JP,JP,3,5,modern,,2,1
281,57,male,asian,JP,JP,1,5,modern,,2,1
282,53,male,asian,JP,JP,5,5,modern,,5,2
283,71,male,asian,JP,JP,10,5,modern,,2,1
284,52,female,asian,JP,JP,4,2,modern,,5,2
285,76,male,asian,JP,JP,12,5,modern,,1,1
286,52,female,asian,JP,JP,1,5,modern,,1,1
287,51,male,asian,JP,JP,5,6,modern,,5,2
288,56,female,asian,JP,JP,1,3,modern,,5,2
289,73,male,asian,JP,JP,2,5,modern,,3,1
290,26,female,asian,JP,JP,3,5,modern,,4,2
291,49,male,asian,JP,JP,1,5,modern,,5,2
292,57,female,asian,JP,JP,1,5,modern,,5,2
293,41,male,asian,JP,JP,8,2,modern,,3,1
294,52,male,asian,JP,JP,9,5,modern,,4,1
295,48,male,asian,JP,JP,7,5,modern,,1,1
296,66,male,asian,JP,JP,3,5,modern,,2,1
297,48,female,asian,JP,JP,3,2,modern,,3,1
298,42,female,asian,JP,JP,1,3,modern,,3,1
299,52,male,asian,JP,JP,9,5,modern,,4,1
300,57,female,asian,JP,JP,1,4,modern,,3,2
301,31,female,asian,JP,JP,4,5,modern,,5,1
302,65,male,asian,JP,JP,7,6,modern,,1,1
303,59,male,asian,JP,JP,10,5,modern,,2,1
304,49,male,asian,JP,JP,12,5,modern,,3,2
305,69,male,asian,JP,JP,3,5,modern,,1,1
306,51,male,asian,JP,JP,1,2,modern,,1,1
307,80,male,asian,JP,JP,3,2,modern,,1,1
308,69,male,asian,JP,JP,8,5,modern,,2,1
309,41,male,asian,JP,JP,1,5,modern,,5,2
310,64,male,asian,JP,JP,5,6,modern,,1,1
311,73,female,asian,JP,JP,1,2,modern,,4,2
312,49,female,asian,JP,JP,9,6,modern,,1,1
313,65,male,white,JP,JP,1,2,modern,,3,2
314,54,male,asian,JP,JP,9,5,modern,,1,1
315,71,male,asian,JP,JP,2,5,modern,,2,1
316,61,female,asian,JP,JP,2,2,modern,,3,1
317,25,female,asian,JP,JP,2,3,modern,,2,1
318,36,male,asian,JP,JP,12,2,modern,,2,2
319,82,female,asian,JP,JP,1,2,modern,,5,2
320,61,male,asian,JP,JP,9,6,modern,,1,1
321,49,male,asian,JP,JP,4,5,modern,,2,1
322,63,male,asian,JP,JP,1,4,modern,,1,1
323,65,female,asian,JP,JP,1,2,modern,,3,1
324,59,male,asian,JP,JP,1,5,modern,,4,2
325,47,female,asian,JP,JP,1,2,modern,,5,2
326,46,male,asian,JP,JP,4,2,modern,,3,2
327,61,female,asian,JP,JP,1,5,modern,,2,1
328,75,female,asian,JP,JP,12,3,modern,,4,2
329,67,male,asian,JP,JP,2,2,modern,,4,2
330,70,female,asian,JP,JP,1,5,modern,,5,2
331,68,male,asian,JP,JP,1,5,modern,,2,1
332,69,male,asian,JP,JP,3,2,modern,,5,2
333,40,female,asian,JP,JP,3,3,modern,,4,2
334,48,male,asian,JP,JP,1,2,modern,,3,2
335,74,male,asian,JP,JP,4,5,modern,,2,1
336,36,male,asian,JP,JP,4,5,modern,,5,2
337,68,male,asian,JP,JP,1,2,modern,,5,2
338,54,female,asian,JP,JP,4,2,modern,,2,1
339,56,male,asian,JP,JP,4,4,modern,,4,2
340,59,male,asian,JP,JP,5,5,modern,,5,2
341,82,male,asian,JP,JP,3,2,modern,,4,1
342,57,female,asian,JP,JP,1,1,modern,,2,1
343,42,male,asian,JP,JP,1,3,modern,,2,1
344,61,male,asian,JP,JP,10,5,modern,,1,1
345,39,male,asian,JP,JP,1,2,modern,,5,2
346,74,male,asian,JP,JP,4,5,modern,,2,1
347,42,male,asian,JP,JP,5,5,modern,,2,1
348,34,male,asian,JP,JP,1,1,modern,,4,2
349,19,female,asian,JP,JP,1,2,modern,,2,2
350,55,male,asian,JP,JP,1,2,modern,,3,2
351,51,male,asian,JP,JP,6,5,modern,,2,1
352,64,male,asian,JP,JP,5,5,modern,,3,1
353,60,male,asian,JP,JP,12,2,modern,,2,1
354,66,male,asian,JP,JP,6,5,modern,,5,2
355,74,male,asian,JP,JP,2,5,modern,,2,2
356,52,male,asian,JP,JP,12,2,modern,,3,1
357,41,male,asian,JP,JP,1,5,modern,,3,1
358,30,female,asian,JP,JP,4,5,modern,,4,2
359,65,male,asian,JP,JP,5,4,modern,,1,1
360,40,male,asian,JP,JP,2,5,modern,,2,1
361,48,male,asian,JP,JP,6,2,modern,,3,1
362,68,female,asian,JP,JP,3,2,modern,,5,2
363,39,female,asian,JP,JP,3,5,modern,,4,2
364,32,female,asian,JP,JP,12,5,modern,,2,1
365,63,male,asian,JP,JP,6,5,modern,,5,2
366,77,male,asian,JP,JP,3,5,modern,,2,1
367,73,male,other,JP,JP,12,2,modern,,2,1
368,71,male,asian,JP,JP,2,5,modern,,5,2
369,65,female,asian,JP,JP,12,5,modern,,2,1
370,59,female,asian,JP,JP,12,7,modern,,1,1
371,55,male,asian,JP,JP,7,5,modern,,2,1
372,63,male,asian,JP,JP,6,5,modern,,2,1
373,76,male,asian,JP,JP,2,5,modern,,1,1
374,55,male,asian,JP,JP,8,6,modern,,4,1
375,64,female,asian,JP,JP,1,2,modern,,5,1
376,70,male,asian,JP,JP,1,5,modern,,3,1
377,76,male,asian,JP,JP,12,5,modern,,2,1
378,29,female,asian,JP,JP,1,1,modern,,5,2
379,53,female,asian,JP,JP,6,5,modern,,2,1
380,58,male,asian,JP,JP,6,5,modern,,1,1
381,57,female,asian,JP,JP,1,2,modern,,1,1
382,46,male,asian,JP,JP,12,5,modern,,1,1
383,62,male,white,JP,JP,3,3,modern,,2,1
384,59,male,asian,JP,JP,5,2,modern,,1,2
385,52,female,asian,JP,JP,2,4,modern,,2,1
386,74,male,asian,JP,JP,4,5,modern,,3,1
387,40,female,white,JP,JP,1,4,modern,,5,1
388,39,female,asian,JP,JP,2,1,modern,,4,1
389,42,female,asian,JP,JP,2,1,modern,,3,1
390,72,male,asian,JP,JP,7,5,modern,,2,1
391,55,female,asian,JP,JP,1,2,modern,,5,2
392,39,female,asian,JP,JP,3,3,modern,,2,1
393,49,female,asian,JP,JP,1,4,modern,,3,2
394,59,female,asian,JP,JP,4,5,modern,,2,1
395,60,female,asian,JP,JP,1,5,modern,,5,2
396,37,female,asian,JP,JP,1,4,modern,,4,2
397,71,female,asian,JP,JP,1,4,modern,,5,2
398,51,male,asian,JP,JP,9,5,modern,,1,1
399,65,male,asian,JP,JP,1,2,modern,,5,2
400,38,male,asian,JP,JP,2,5,modern,,5,2
401,61,male,asian,JP,JP,5,6,modern,,2,1
402,71,male,asian,JP,JP,4,5,modern,,3,2
403,63,female,asian,JP,JP,1,3,modern,,5,2
404,66,male,asian,JP,JP,2,5,modern,,3,1
405,45,male,asian,JP,JP,7,3,modern,,3,2
406,64,male,asian,JP,JP,2,5,modern,,2,1
407,66,male,asian,JP,JP,1,2,modern,,5,2
408,40,female,asian,JP,JP,3,5,modern,,5,2
409,55,male,asian,JP,JP,6,3,modern,,5,1
410,42,male,asian,JP,JP,4,2,modern,,1,1
411,36,male,asian,JP,JP,4,3,modern,,2,2
412,45,male,asian,JP,JP,8,3,modern,,2,1
413,46,male,asian,JP,JP,12,6,modern,,2,1
414,54,male,asian,JP,JP,1,3,modern,,5,2
415,56,male,asian,JP,JP,12,5,modern,,3,2
416,64,male,asian,JP,JP,2,3,modern,,2,1
417,51,male,asian,JP,JP,1,2,modern,,3,2
418,36,male,asian,JP,JP,3,2,modern,,2,1
419,80,male,asian,JP,JP,4,5,modern,,2,1
420,35,male,asian,JP,JP,3,3,modern,,1,1
421,44,male,asian,JP,JP,5,6,modern,,1,1
422,55,male,asian,JP,JP,7,2,modern,,2,1
423,44,male,asian,JP,JP,5,6,modern,,2,2
424,72,female,asian,JP,JP,1,5,modern,,2,1
425,38,female,asian,JP,JP,6,6,modern,,4,2
426,28,female,asian,JP,JP,3,5,modern,,2,2
427,62,male,asian,JP,JP,7,5,modern,,2,1
428,53,male,asian,JP,JP,3,3,modern,,3,2
429,69,male,asian,JP,JP,7,3,modern,,3,1
430,65,male,asian,JP,JP,2,5,modern,,2,1
431,61,male,asian,JP,JP,11,5,modern,,4,1
432,58,female,white,JP,JP,12,4,modern,,3,2
433,68,male,asian,JP,JP,4,5,modern,,1,1
434,68,male,asian,JP,JP,2,5,modern,,2,1
435,50,male,asian,JP,JP,12,5,modern,,1,1
436,61,male,asian,JP,JP,5,3,modern,,1,1
437,70,male,asian,JP,JP,2,4,modern,,3,1
438,68,male,asian,JP,JP,7,5,modern,,1,1
439,34,male,asian,JP,JP,3,5,modern,,2,1
440,71,male,asian,JP,JP,3,2,modern,,2,1
441,32,female,asian,JP,JP,1,2,modern,,5,1
442,50,female,asian,JP,JP,2,5,modern,,3,2
443,40,male,asian,JP,JP,11,2,modern,,1,1
444,36,female,white,JP,JP,12,5,modern,,2,3
445,57,female,asian,JP,JP,1,3,modern,,5,2
446,49,female,asian,JP,JP,1,2,modern,,3,1
447,70,male,asian,JP,JP,5,5,modern,,4,1
448,61,male,asian,JP,JP,1,5,modern,,2,1
449,71,male,asian,JP,JP,3,5,modern,,1,1
450,42,female,prefer not to answer,JP,JP,1,2,modern,,3,2
451,47,male,asian,JP,JP,12,5,modern,,3,1
452,75,male,asian,JP,JP,4,5,modern,,2,1
453,61,male,asian,JP,JP,4,6,modern,,5,2
454,67,male,asian,JP,JP,3,5,modern,,2,1
455,61,male,asian,JP,JP,7,2,modern,,1,1
456,76,male,asian,JP,JP,12,5,modern,,4,1
457,68,male,asian,JP,JP,1,5,modern,,2,1
458,59,male,asian,JP,JP,3,2,modern,,2,1
459,68,male,asian,JP,JP,4,5,modern,,2,1
460,61,male,asian,JP,JP,2,3,modern,,2,1
461,56,female,asian,JP,JP,1,2,modern,,4,2
462,52,male,asian,JP,JP,4,5,modern,,2,1
463,56,male,asian,JP,JP,8,5,modern,,1,1
464,75,male,asian,JP,JP,4,2,modern,,1,1
465,74,male,asian,JP,JP,1,5,modern,,3,1
466,39,male,asian,JP,JP,5,5,modern,,2,1
467,59,male,asian,JP,JP,1,5,modern,,2,1
468,60,female,asian,JP,JP,1,3,modern,,5,2
469,56,male,asian,JP,JP,12,3,modern,,4,2
470,74,male,asian,JP,JP,2,2,modern,,2,1
471,67,male,asian,JP,JP,3,5,modern,,2,1
472,56,male,asian,JP,JP,2,3,modern,,4,1
473,43,male,asian,JP,JP,12,5,modern,,1,1
474,47,male,asian,JP,JP,8,5,modern,,1,1
475,40,female,asian,JP,JP,2,2,modern,,2,2
476,73,male,asian,JP,JP,1,5,modern,,1,1
477,74,male,asian,JP,JP,7,5,modern,,2,1
478,65,male,asian,JP,JP,5,5,modern,,2,1
479,36,female,asian,JP,JP,1,2,modern,,3,2
480,64,male,asian,JP,JP,3,5,modern,,2,1
481,59,female,asian,JP,JP,1,4,modern,,5,2
482,82,male,asian,JP,JP,4,5,modern,,3,1
483,43,female,white,JP,JP,1,3,modern,,2,2
484,52,male,asian,JP,JP,2,6,modern,,4,2
485,71,male,asian,JP,JP,4,6,modern,,1,1
486,66,male,asian,JP,JP,1,2,modern,,2,1
487,59,female,asian,JP,JP,12,5,modern,,3,1
488,53,female,asian,JP,JP,1,2,modern,,3,1
489,30,female,asian,JP,JP,4,5,modern,,4,2
490,70,female,asian,JP,JP,1,2,modern,,3,2
491,61,male,asian,JP,JP,1,5,modern,,4,1
492,69,male,asian,JP,JP,4,2,modern,,1,1
493,34,male,asian,JP,JP,11,5,modern,,5,2
494,74,male,asian,JP,JP,5,5,modern,,2,1
495,49,male,asian,JP,JP,12,4,modern,,5,1
496,61,male,asian,JP,JP,9,5,modern,,2,1
497,81,male,asian,JP,JP,2,1,modern,,5,2
498,80,male,asian,JP,JP,3,3,modern,,1,1
499,51,female,white,JP,JP,12,3,modern,,3,2
500,62,male,asian,JP,JP,12,6,modern,,2,1
501,74,male,asian,JP,JP,2,2,modern,,2,1
502,55,male,asian,JP,JP,4,5,modern,,2,1
503,53,female,white,JP,JP,12,4,modern,,2,2
504,57,male,asian,JP,JP,1,5,modern,,5,2
505,40,female,asian,JP,JP,2,3,modern,,2,1
506,45,male,asian,JP,JP,2,4,modern,,1,1
507,64,female,asian,JP,JP,2,3,modern,,2,1
508,71,female,asian,JP,JP,1,2,modern,,4,1
509,48,male,asian,JP,JP,1,3,modern,,5,2
510,62,male,asian,JP,JP,1,2,modern,,2,1
511,63,female,asian,JP,JP,8,2,modern,,3,2
512,78,male,asian,JP,JP,12,6,modern,,1,1
